question,answer
I am a foreign student and just got admitted. What courses should I take?,"You should attend the New Student Orientation, which is generally scheduled at the beginning of a semester. You will be notified by your program advisor via email, detailing the schedule and place of the meeting."
Can I register for more than 4 courses per semester?,"No, please follow the Registrar's Office guidelines for maximum units allowed. Additionally, the CMPE Department has a policy that limits enrollment for its graduate students at 12 units maximum per semester."
Where can I get the permission number? How do you know the instructor's name?,Permission numbers for each course are assigned to course instructors. You will be able to see the course instructor's name under the MySJSU portal about two to three weeks before each semester starts or earlier.
How do I enroll in a course?,You can enroll via MySJSU during advance registration. The Registrar's Office has a tutorial on how to add a course.
How do I drop a course?,You can drop a course by using the 'drop' tab in MySJSU. You can check the steps on the Registrar's Office website.
It is almost the first day of the semester and I am trying to enroll but I get an error message. Why?,You might be trying to enroll during the two days of registration closed prior to the start of the semester. Please check the Registrar's Office calendar to confirm.
Will I get a refund if I drop the course?,"To learn more about the refund policy, please check the Bursar's Office website. If you are taking a course during summer session, information about refund and drop deadlines can also be found on the summer session calendar."
Do I need advising every semester in order to register for classes?,"It depends on the program. Some programs place an advising hold that requires you to meet with your program advisor every term, while other programs require this meeting only from students who are on academic probation."
What is the Graduate Writing Assessment Requirement (GWAR)?,Please see the university catalog for information regarding the GWAR.
Where can I get the candidacy form?,You may obtain the Candidacy form from the GAPE forms site.
When should I file for Candidacy?,"You will need to be in classified status in your program, have earned at least 9 units of letter-graded courses, have fulfilled the GWAR, and be in good standing to file your advancement to candidacy petition."
What if I filed for Candidacy and want to change one of the courses listed on the approved Candidacy Form?,You will need to file a Request for Course Substitution to substitute a core or an elective course listed on the candidacy form.
Am I eligible to work for 40 hours a week during my Fall & Spring semester?,"No, internship work during the Fall and Spring semesters is limited to 20 hours per week maximum for international students via the Curricular Practical Training (CPT) program."
Can I work both a part-time on-campus job and an off-campus full-time job together?,"No, full-time work for international students on CPT is allowed during the summer term. You can also work on campus during that time of the year if your schedule allows."
When can be the last day for an internship?,Please be aware of the authorized window for CPT for each term by consulting the CPT webpage from the ISSS Office.
What is Culminating Experience?,Your culminating experience is a project or a thesis at the graduate level. A Culminating Experience Form is required by the university to show that you have met the necessary skills to obtain an MS degree.
What is the purpose of the Graduate FAQ section?,"The Graduate FAQ section is a resource for current and new graduate students at SJSU, providing answers to common questions in six sections: General, Admissions, Academic Planning/Enrollment, Advancement to Candidacy, Jobs/Internships, and Culminating Experience."
What is a STEM program?,All graduate programs in the College of Engineering are considered STEM programs.
Who should I contact for Visa and residency related questions?,"For any questions related to your student visa, other visa status, or compliance with immigration regulations, please visit the ISSS Office (virtual or in person) and check their website."
What is Conditional Classification?,"Conditional Classification refers to your admission standing at SJSU, meaning you have not satisfied all the required conditions for admission. You are not allowed to take more than 12 units of graduate courses until the conditions are satisfied."
What is Classified status?,Classified status indicates that you have satisfied all of the conditions of admission.
Are there test requirements for admission?,It depends on the program you are applying to. Please check the GAPE website for test requirements by College and program.
Can I request a waiver to take the prerequisite courses in my admission letter?,"Conditional admission requires that your conditions are satisfied. If you have any prior coursework that might be similar and/or have any questions about your conditions, please contact your program advisor to receive guidance."
What are the tuition fees?,Tuition fees and other fees for graduate students can be found under the Bursar's Office website.
I have questions about an admission deferral. Who should I contact?,"For questions about admission deferral to a graduate program, please check the webpage by the Admissions' Office."
I have been admitted and have questions about the next steps. Where can I find the information?,Check out the steps to enrollment and who to contact if you have questions on the Admissions' Office website.
Does the Department of Aviation and Technology offer a graduate program?,"Yes, it is currently called MS in Quality Assurance, but there is a plan to rename it to MS in Engineering Technology in the near future."
I am a foreign student and just got admitted. What courses should I take?,"You should attend the New Student Orientation, which is generally scheduled at the beginning of a semester. You will be notified by your program advisor via email, detailing the schedule and place of the meeting."
Can I register for more than 4 courses per semester?,"Please follow the Registrar's Office guidelines for maximum units allowed. Additionally, the CMPE Department has a policy that limits enrollment for its graduate students at 12 units maximum per semester."
Where can I get the permission number? How do you know the instructor's name?,Permission numbers for each course are assigned to course instructors. You will be able to see the course instructor's name under the MySJSU portal about two to three weeks before each semester starts or earlier.
How do I enroll in a course?,"You can enroll via MySJSU during advance registration, and the Registrar's Office has a tutorial on how to add a course."
How do I drop a course?,Dropping a course is like adding but use the 'drop' tab instead. You can check the steps on the Registrar's Office website.
"It is almost the first day of the semester, and I am trying to enroll but I get an error message. Why?","You might be trying to enroll during the two days of registration closed prior to the start of the semester. To check if this is the reason, please check the Registrar's Office calendar that specifies those dates of no registration activity."
Will I get a refund if I drop the course?,"To learn more about the refund policy, you should check the Bursar's Office website. If you are taking a course during summer session, information about refund and drop deadlines can also be found on the summer session calendar."
Do I need advising every semester in order to register for classes?,"It depends on the program. Some programs place an advising hold that requires you to meet with your program advisor every term, while other programs require this meeting only from students who are on academic probation."
What is the Graduate Writing Assessment Requirement (GWAR)?,Please see the university catalog for information regarding the GWAR.
Where can I get the candidacy form?,You may obtain the Candidacy form from the GAPE forms site.
When should I file for Candidacy?,"You will need to be in classified status in your program, have earned at least 9 units of letter-graded courses, have fulfilled the GWAR, and be in good standing to file your advancement to candidacy petition."
What if I filed for Candidacy and want to change one of the courses listed on the approved Candidacy Form?,You will need to file a Request for Course Substitution to substitute a core or an elective course listed on the candidacy form.
Am I eligible to work for 40 hours a week during my Fall & Spring semester?,Internship work during the Fall and Spring semesters is limited to 20 hours per week maximum for international students via the Curricular Practical Training (CPT) program.
Can I work both a part-time on-campus job and an off-campus full-time job together?,Full-time work for international students on CPT is allowed during the summer term. You can also work on campus during that time of the year if your schedule allows.
When can be the last day for an internship?,"If you are doing CPT, please be aware of the authorized window for CPT for each term by consulting the CPT webpage from the ISSS Office."
What is Culminating Experience?,Your culminating experience is a project or a thesis at the graduate level. A Culminating Experience Form is required by the university to show that you have met the necessary skills to obtain an MS degree.
What is the MS in Software Engineering - Software Systems Engineering Specialization?,"The MS in Software Engineering - Software Systems Engineering Specialization provides current and future software professionals with the essential skills and real-world knowledge to succeed in the software engineering field. It offers an education in the fundamentals of software engineering and an in-depth exposure to the latest technologies and trends in software development processes, methodologies, and tools."
What are the required specialization core classes for the MSSE Software Systems Engineering Specialization?,"The required specialization core classes are CMPE 285 Software Engineering Processes and CMPE 287 Software Quality Assurance and Testing, which are both 3-unit classes."
How many units are required for the specialization core classes?,"The specialization core classes require 6 units, which means students must take both CMPE 285 and CMPE 287."
What are the specialization choice classes for the MSSE Software Systems Engineering Specialization?,"The specialization choice classes are CMPE 273 Enterprise Distributed Systems, CMPE 275 Enterprise Application Development, CMPE 281 Cloud Technologies, CMPE 283 Virtualization Technologies, CMPE 206 Computer Network Design, CMPE 207 Network Programming and Applications, CMPE 257 Machine Learning, CMPE 258 Deep Learning, CMPE 209 Network Security, and CMPE 279 Software Security Technologies."
How many units are required for the specialization choice classes?,"The specialization choice classes require 3 units, which means students must take one of the listed classes."
Can I take more than one specialization choice class?,"No, students can only take one specialization choice class, which is 3 units."
Are there any prerequisites for the MSSE Software Systems Engineering Specialization?,"No, there are no prerequisites for the MSSE Software Systems Engineering Specialization, but students must have a bachelor's degree in a related field or have relevant work experience."
Can I take the MSSE Software Systems Engineering Specialization as a part-time student?,"Yes, the MSSE Software Systems Engineering Specialization can be taken as a part-time student, but students must meet the program requirements and deadlines."
Can I take the MSSE Software Systems Engineering Specialization online?,"Yes, some classes in the MSSE Software Systems Engineering Specialization are offered online, but students must check the course schedule for availability."
Can AI students take SE courses?,"Yes, AI students can take SE courses, but they must meet the program requirements and prerequisites."
Can SE students take AI courses?,"Yes, SE students can take AI courses, but they must meet the program requirements and prerequisites."
What is the typical duration of the MSSE Software Systems Engineering Specialization?,"The typical duration of the MSSE Software Systems Engineering Specialization is 2 years, but students can complete the program in 1 year with a heavy course load."
What is the tuition fee for the MSSE Software Systems Engineering Specialization?,The tuition fee for the MSSE Software Systems Engineering Specialization varies depending on the student's residency status and the number of units taken. Students can check the SJSU website for the current tuition fee.
Are there any scholarships or financial aid available for the MSSE Software Systems Engineering Specialization?,"Yes, there are scholarships and financial aid available for the MSSE Software Systems Engineering Specialization. Students can check the SJSU website for more information."
Can I transfer credits from another university to the MSSE Software Systems Engineering Specialization?,"Yes, students can transfer credits from another university to the MSSE Software Systems Engineering Specialization, but they must meet the program requirements and prerequisites."
What is the deadline for applying to the MSSE Software Systems Engineering Specialization?,"The deadline for applying to the MSSE Software Systems Engineering Specialization varies depending on the semester, but students can check the SJSU website for the current deadline."
Can I apply to the MSSE Software Systems Engineering Specialization if I do not have a bachelor's degree in a related field?,"Yes, students can apply to the MSSE Software Systems Engineering Specialization if they do not have a bachelor's degree in a related field, but they must have relevant work experience or meet the program requirements."
What is the admission process for the MSSE Software Systems Engineering Specialization?,"The admission process for the MSSE Software Systems Engineering Specialization involves submitting an application, transcripts, and test scores, and meeting the program requirements and prerequisites."
Can I enroll in the MSSE Software Systems Engineering Specialization if I am an international student?,"Yes, international students can enroll in the MSSE Software Systems Engineering Specialization, but they must meet the program requirements and prerequisites, and provide additional documentation."
What is the language of instruction for the MSSE Software Systems Engineering Specialization?,The language of instruction for the MSSE Software Systems Engineering Specialization is English.
Can I take a leave of absence from the MSSE Software Systems Engineering Specialization?,"Yes, students can take a leave of absence from the MSSE Software Systems Engineering Specialization, but they must meet the program requirements and deadlines."
Can I withdraw from the MSSE Software Systems Engineering Specialization?,"Yes, students can withdraw from the MSSE Software Systems Engineering Specialization, but they must meet the program requirements and deadlines."
What is the refund policy for the MSSE Software Systems Engineering Specialization?,The refund policy for the MSSE Software Systems Engineering Specialization varies depending on the semester and the student's status. Students can check the SJSU website for the current refund policy.
